"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400003222";"155 776 165";"A01";"3";"7";"0";"9";"1";"9";"1";""
"202400003223";"155 776 160";"A01";"1";"10";"0";"1";"1";"16";"1";""
"202400003224";"155 776 161";"A01";"3";"1";"0";"2";"1";"1";"5";""
"202400003224";"155 776 162";"B01";"2";"7";"0";"9";"1";"1";"1";""
"202400003225";"155 776 159";"A01";"1";"1";"0";"0";"0";"1";"5";""
"202400003226";"155 776 157";"B01";"1";"7";"0";"2";"4";"1";"1";""
"202400003226";"155 776 158";"A01";"1";"7";"0";"2";"1";"2";"1";""
"202400003227";"155 776 154";"A01";"1";"7";"1";"0";"1";"7";"1";""
"202400003227";"155 776 156";"B01";"1";"37";"0";"2";"4";"23";"1";"1"
"202400003228";"155 776 153";"B01";"2";"7";"0";"2";"2";"1";"1";""
"202400003228";"155 776 155";"A01";"2";"30";"0";"2";"1";"1";"1";""
"202400003229";"155 776 149";"A01";"2";"50";"0";"1";"1";"1";"3";""
"202400003230";"155 776 143";"A01";"1";"7";"0";"2";"1";"13";"1";""
"202400003230";"155 776 144";"B01";"2";"1";"0";"2";"1";"1";"5";""
"202400003230";"155 776 146";"C01";"2";"1";"0";"2";"1";"1";"5";""
"202400003230";"155 776 147";"D01";"2";"1";"0";"2";"1";"1";"5";""
"202400003230";"155 776 148";"E01";"2";"1";"0";"2";"1";"1";"5";""
"202400003230";"155 776 150";"G01";"2";"1";"0";"2";"1";"1";"5";""
"202400003230";"155 776 151";"F01";"2";"1";"0";"2";"1";"1";"5";""
"202400003230";"155 776 152";"H01";"2";"1";"0";"2";"1";"1";"5";""
"202400003231";"155 776 142";"A01";"1";"7";"6";"2";"5";"1";"1";""
"202400003231";"155 776 145";"Z01";"1";"7";"1";"2";"0";"0";"1";""
"202400003232";"155 776 139";"B01";"1";"33";"0";"2";"1";"1";"1";""
"202400003232";"155 776 141";"A01";"2";"37";"0";"2";"1";"15";"1";"1"
"202400003233";"155 776 138";"A01";"1";"7";"0";"2";"0";"0";"0";""
"202400003233";"155 776 140";"B01";"1";"50";"0";"0";"0";"5";"3";""
"202400003234";"155 776 136";"A01";"3";"7";"0";"1";"3";"15";"1";""
"202400003235";"155 776 134";"A01";"1";"7";"0";"2";"1";"1";"1";""
"202400003235";"155 776 135";"B01";"2";"7";"0";"2";"5";"15";"1";""
"202400003235";"155 776 137";"C01";"1";"10";"0";"2";"1";"16";"1";""
"202400003236";"155 776 132";"A01";"3";"15";"0";"2";"8";"16";"0";""
"202400003236";"155 776 133";"B01";"3";"33";"16";"2";"3";"26";"1";""
"202400003237";"155 776 130";"A01";"2";"7";"0";"2";"5";"0";"1";""
"202400003237";"155 776 131";"B01";"1";"33";"0";"2";"1";"0";"1";""
"202400003238";"155 776 128";"B01";"3";"7";"0";"2";"8";"1";"1";""
"202400003238";"155 776 129";"A01";"3";"7";"1";"2";"3";"16";"2";""
"202400003239";"155 776 127";"A01";"2";"7";"0";"1";"7";"1";"1";""
"202400003240";"155 776 125";"A01";"1";"7";"0";"1";"1";"15";"1";""
"202400003241";"155 776 124";"B01";"2";"7";"0";"2";"2";"1";"1";""
"202400003241";"155 776 126";"A01";"2";"7";"0";"2";"3";"15";"1";""
"202400003242";"155 776 122";"A01";"1";"10";"0";"2";"3";"19";"0";""
"202400003242";"155 776 123";"B01";"1";"31";"0";"2";"2";"1";"1";""
"202400003243";"155 776 120";"A01";"1";"33";"0";"2";"0";"1";"1";""
"202400003243";"155 776 121";"B01";"1";"31";"0";"2";"0";"15";"1";""
"202400003244";"155 776 119";"A01";"1";"7";"0";"1";"3";"0";"0";""
"202400003245";"155 776 116";"A01";"3";"30";"0";"2";"7";"2";"0";""
"202400003245";"155 776 118";"B01";"1";"0";"0";"2";"1";"15";"0";""
"202400003246";"155 776 115";"B01";"2";"33";"0";"2";"0";"1";"1";""
"202400003246";"155 776 117";"A01";"1";"7";"0";"2";"0";"9";"1";""
"202400003247";"155 776 112";"B01";"1";"7";"0";"2";"1";"0";"1";""
"202400003247";"155 776 114";"A01";"2";"10";"0";"2";"1";"13";"1";""
"202400003248";"155 776 111";"A01";"1";"10";"0";"2";"2";"9";"1";""
"202400003248";"155 776 113";"B01";"2";"1";"0";"2";"1";"1";"5";""
"202400003249";"155 776 109";"A01";"2";"50";"8";"0";"1";"1";"3";""
"202400003250";"155 776 104";"C01";"2";"10";"0";"2";"4";"1";"0";""
"202400003250";"155 776 106";"A01";"2";"7";"0";"2";"4";"1";"1";""
"202400003250";"155 776 107";"B01";"2";"7";"0";"2";"4";"1";"1";""
"202400003250";"155 776 108";"D01";"2";"7";"0";"2";"4";"0";"1";""
"202400003250";"155 776 110";"E01";"2";"10";"0";"2";"1";"1";"1";""
"202400003251";"155 776 105";"A01";"2";"7";"0";"1";"3";"15";"1";""
"202400003252";"155 776 101";"A01";"2";"10";"0";"2";"1";"2";"1";""
"202400003252";"155 776 103";"B01";"2";"7";"0";"2";"4";"1";"1";""
"202400003253";"155 776 100";"A01";"1";"7";"0";"2";"3";"9";"2";""
"202400003253";"155 776 102";"B01";"2";"33";"0";"2";"1";"1";"1";""
"202400003254";"155 776 099";"A01";"1";"7";"0";"1";"3";"1";"1";""
"202400003255";"155 776 096";"B01";"3";"7";"0";"2";"1";"1";"1";""
"202400003255";"155 776 098";"A01";"3";"7";"0";"2";"7";"15";"1";""
"202400003256";"155 776 094";"B01";"1";"7";"0";"2";"4";"2";"1";""
"202400003256";"155 776 095";"C01";"1";"7";"0";"2";"4";"2";"1";""
"202400003256";"155 776 097";"A01";"1";"10";"0";"2";"1";"1";"1";""
"202400003257";"155 776 093";"A01";"2";"7";"0";"1";"1";"1";"0";""
"202400003258";"155 776 091";"A01";"3";"7";"0";"2";"3";"19";"1";""
"202400003258";"155 776 092";"B01";"3";"30";"0";"2";"1";"21";"1";""
"202400003259";"155 776 090";"A01";"2";"7";"6";"0";"1";"14";"1";""
"202400003260";"155 776 089";"A01";"1";"7";"0";"1";"3";"1";"2";""
"202400003261";"155 776 088";"A01";"0";"10";"0";"1";"1";"1";"1";""
"202400003262";"155 776 086";"B01";"2";"7";"0";"2";"3";"1";"1";""
"202400003262";"155 776 087";"A01";"1";"7";"0";"2";"2";"15";"1";""
