"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202400013596";"22";"11";"2024";"10:22";"1";"49";"49353";"2";"1";"1";"6";"CAMUS";"47,45000000";" -0,50717000"
"202400013597";"21";"11";"2024";"22:00";"5";"49";"49007";"2";"1";"1";"6";"MONTAIGNE AVENUE";"47,46710000";" -0,52567000"
"202400013598";"21";"11";"2024";"08:06";"5";"49";"49246";"2";"6";"4";"6";"PYRAMIDE ROUTE";"47,44760341";" -0,50973840"
"202400013599";"21";"11";"2024";"08:20";"5";"49";"49007";"2";"2";"4";"3";"VAUBAN AVENUE";"47,46001000";" -0,55850000"
"202400013600";"20";"11";"2024";"16:20";"1";"49";"49007";"2";"1";"1";"2";"BARANGE BOULEVARD";"47,45684000";" -0,57209000"
"202400013601";"22";"11";"2024";"19:30";"5";"38";"38563";"2";"1";"2";"3";"SAND (RUE G.)";"45,36522000";"5,58467600"
"202400013602";"22";"11";"2024";"18:10";"5";"38";"38185";"2";"2";"1";"3";"BOULEVARD GAMBETTA";"45,18610000";"5,72470000"
"202400013603";"22";"11";"2024";"05:45";"5";"37";"37233";"2";"6";"9";"7";"DUCLOS (AVENUE JACQUES)";"47,38013000";"0,72666000"
"202400013604";"23";"11";"2024";"01:00";"3";"35";"35238";"1";"1";"1";"2";"ROCADE 13-14";"48,14202063";" -1,66279701"
"202400013605";"22";"11";"2024";"14:30";"1";"35";"35278";"1";"1";"1";"2";"GUE MARY (RUE DU)";"48,15608000";" -1,69990000"
"202400013606";"19";"04";"2024";"12:00";"1";"76";"76217";"2";"1";"1";"2";"CHANZY (GENERAL)";"49,91008000";"1,08536000"
"202400013607";"22";"11";"2024";"08:20";"2";"35";"35238";"2";"1";"1";"3";"SEVIGNE (BD DE)";"48,11646000";" -1,67329000"
"202400013608";"22";"11";"2024";"17:25";"5";"34";"34172";"2";"1";"1";"3";"NIMES (AVENUE DE)";"43,62068000";"3,89042000"
"202400013609";"19";"04";"2024";"17:35";"1";"71";"71270";"2";"2";"1";"2";"SANCE (RUE DE)";"46,32039779";"4,83200625"
"202400013610";"22";"11";"2024";"10:05";"1";"34";"34172";"2";"2";"1";"3";"SOULAS (AVENUE DU PERE";"43,62071000";"3,85786000"
"202400013611";"21";"04";"2024";"08:20";"1";"66";"66136";"1";"1";"1";"4";"Départementale  617";"42,71202000";"2,92432000"
"202400013612";"19";"04";"2024";"11:33";"1";"65";"65286";"2";"1";"1";"3";"Avenue Alexandre Marqui";"43,10582000";" -0,04106000"
"202400013613";"22";"11";"2024";"20:30";"3";"33";"33063";"2";"1";"8";"4";"N/A";"44,88788000";" -0,55488000"
"202400013614";"21";"04";"2024";"16:20";"1";"63";"63113";"2";"1";"1";"6";"MONTLOSIER (RUE)";"45,78132000";"3,09005000"
"202400013615";"22";"11";"2024";"20:55";"5";"33";"33063";"2";"2";"1";"3";"N/A";"44,82817685";" -0,56869000"
"202400013616";"20";"04";"2024";"17:45";"1";"60";"60463";"1";"1";"1";"6";"Chemin de la Cavee des Granges";"49,28261000";"2,45024000"
"202400013617";"22";"11";"2024";"18:15";"5";"33";"33063";"2";"3";"1";"3";"N/A";"44,81784000";" -0,57733000"
"202400013618";"21";"04";"2024";"13:30";"1";"59";"59512";"2";"2";"1";"1";"LUXEMBOURG (RUE DU)";"50,69104400";"3,15623900"
"202400013619";"22";"11";"2024";"01:45";"5";"33";"33063";"2";"2";"2";"2";"N/A";"44,82792000";" -0,59334000"
"202400013620";"20";"04";"2024";"11:35";"1";"59";"59350";"2";"2";"1";"3";"Avenue de Dunkerque (Lille)";"50,63793000";"3,02347000"
"202400013621";"18";"11";"2024";"00:01";"5";"33";"33063";"2";"6";"1";"6";"N/A";"44,89636900";" -0,55066500"
