"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400005608";"203 975 370";"155 771 924";"A01";"1";"1";"4";"1";"1944";"5";"2";" -1";" -1";" -1";" -1";" -1"
"202400005609";"203 975 369";"155 771 923";"A01";"1";"1";"3";"1";"1972";"0";"2";"8";" -1";" -1";" -1";" -1"
"202400005610";"203 975 365";"155 771 920";"A01";"1";"1";"3";"1";"1990";"0";"1";"8";" -1";" -1";" -1";" -1"
"202400005610";"203 975 367";"155 771 922";"B01";"1";"1";"3";"1";"1994";"0";"0";" -1";" -1";" -1";" -1";" -1"
"202400005611";"203 975 361";"155 771 917";"A01";"1";"1";"4";"1";"1957";"5";"2";"6";" -1";" -1";" -1";" -1"
"202400005612";"203 975 358";"155 771 915";"A01";"10";"3";"4";"1";"2015";"9";"0";" -1";" -1";"1";"3";"1"
"202400005612";"203 975 360";"155 771 915";"A01";"1";"1";"1";"1";"1999";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400005613";"203 975 357";"155 771 914";"A01";"1";"1";"4";"1";"1969";"0";"1";"8";" -1";" -1";" -1";" -1"
"202400005613";"203 975 359";"155 771 916";"B01";"1";"1";"4";"1";"1960";"0";"1";"8";" -1";" -1";" -1";" -1"
"202400005614";"203 975 353";"155 771 911";"A01";"1";"1";"4";"1";"1972";"4";"1";" -1";" -1";"0";"0";" -1"
"202400005614";"203 975 355";"155 771 913";"B01";"1";"1";"3";"1";"1980";"4";"1";" -1";" -1";"0";"0";" -1"
"202400005615";"203 975 351";"155 771 910";"A01";"2";"2";"1";"1";"2004";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400005615";"203 975 352";"155 771 910";"A01";"1";"1";"1";"1";"2001";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400005615";"203 975 354";"155 771 912";"B01";"2";"2";"3";"2";"1953";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400005615";"203 975 356";"155 771 912";"B01";"1";"1";"4";"1";"1950";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400005616";"203 975 349";"155 771 908";"A01";"1";"1";"4";"2";"2002";"1";"1";"8";" -1";" -1";" -1";" -1"
"202400005616";"203 975 350";"155 771 909";"B01";"1";"1";"1";"1";"1987";"5";"1";"8";" -1";" -1";" -1";" -1"
"202400005617";"203 975 346";"155 771 907";"A01";"10";"3";"4";"1";"1942";"5";"0";" -1";" -1";"3";"3";"2"
"202400005617";"203 975 347";"155 771 907";"A01";"10";"3";"4";"1";"1969";"5";"0";" -1";" -1";"3";"3";"2"
"202400005617";"203 975 348";"155 771 907";"A01";"1";"1";"1";"2";"1997";"1";"1";"0";" -1";"0";"0";" -1"
"202400005618";"203 975 343";"155 771 905";"B01";"1";"1";"1";"1";"1957";"1";"1";"0";" -1";"0";"0";" -1"
"202400005618";"203 975 345";"155 771 906";"A01";"1";"1";"4";"1";"2001";"1";"2";"0";" -1";"0";"0";" -1"
"202400005619";"203 975 337";"155 771 902";"B01";"1";"1";"1";"2";"1994";"0";"8";"8";"8";"0";"0";" -1"
"202400005619";"203 975 339";"155 771 904";"A01";"3";"2";"4";"1";"2013";"0";"1";"0";" -1";"0";"0";" -1"
"202400005619";"203 975 340";"155 771 904";"A01";"2";"2";"4";"1";"1984";"0";"1";"0";" -1";"0";"0";" -1"
"202400005619";"203 975 341";"155 771 904";"A01";"4";"2";"1";"1";"1988";"0";"1";"0";" -1";"0";"0";" -1"
"202400005619";"203 975 342";"155 771 904";"A01";"5";"2";"4";"1";"2015";"0";"1";"0";" -1";"0";"0";" -1"
"202400005619";"203 975 344";"155 771 904";"A01";"1";"1";"4";"1";"1980";"0";"1";"0";" -1";"0";"0";" -1"
"202400005620";"203 975 336";"155 771 901";"A01";"1";"1";"1";"1";"1991";"4";"1";"0";" -1";"0";"0";" -1"
"202400005620";"203 975 338";"155 771 903";"B01";"1";"1";"3";"2";"1962";"0";"8";"0";" -1";"0";"0";" -1"
"202400005621";"203 975 335";"155 771 900";"A01";"1";"1";"4";"2";"2004";"5";"8";"0";" -1";" -1";" -1";" -1"
"202400005622";"203 975 333";"155 771 898";"A01";"1";"1";"4";"1";"1995";"0";"8";"0";" -1";"0";"0";" -1"
"202400005622";"203 975 334";"155 771 899";"B01";"1";"1";"1";"1";"1979";"9";"2";"6";" -1";"0";"0";" -1"
"202400005623";"203 975 331";"155 771 896";"B01";"1";"1";"3";"1";"1978";"5";"2";"8";" -1";" -1";" -1";" -1"
"202400005623";"203 975 332";"155 771 897";"A01";"1";"1";"1";"1";"2004";"5";"1";"0";" -1";" -1";" -1";" -1"
"202400005624";"203 975 329";"155 771 894";"A01";"1";"1";"4";"1";"1977";"5";"2";"8";" -1";"0";"0";" -1"
"202400005624";"203 975 330";"155 771 895";"B01";"1";"1";"4";"1";"1994";"5";"2";"8";" -1";"0";"0";" -1"
"202400005625";"203 975 327";"155 771 892";"A01";"1";"1";"4";"1";"1997";"5";"2";"6";" -1";"0";"0";" -1"
"202400005625";"203 975 328";"155 771 893";"B01";"1";"1";"4";"1";"1997";"5";"2";"6";" -1";"0";"0";" -1"
"202400005626";"203 975 325";"155 771 891";"A01";"1";"1";"4";"1";"1963";"5";"2";"8";" -1";" -1";"5";"1"
"202400005626";"203 975 326";"155 771 891";"A01";"10";"3";"4";"1";"1983";"5";"0";" -1";" -1";"6";"5";"1"
"202400005627";"203 975 322";"155 771 888";"A01";"1";"1";"1";"1";"1971";"4";"1";"4";" -1";" -1";" -1";" -1"
"202400005627";"203 975 323";"155 771 889";"C01";"1";"1";"1";"1";"1995";"4";"2";"6";" -1";" -1";" -1";" -1"
"202400005627";"203 975 324";"155 771 890";"B01";"1";"1";"4";"1";"1988";"1";"1";"4";" -1";" -1";" -1";" -1"
"202400005628";"203 975 320";"155 771 887";"A01";"10";"3";"4";"2";"1953";"5";"0";" -1";" -1";"3";"3";"1"
"202400005628";"203 975 321";"155 771 887";"A01";"1";"1";"1";"1";"2000";"4";"1";"0";" -1";"3";"3";"1"
"202400005629";"203 975 316";"155 771 884";"B01";"1";"1";"3";"1";"1987";"9";"2";"0";" -1";"0";"0";" -1"
"202400005629";"203 975 318";"155 771 886";"A01";"2";"2";"4";"2";"2003";"9";"1";"0";" -1";"0";"0";" -1"
"202400005629";"203 975 319";"155 771 886";"A01";"1";"1";"1";"1";"1997";"9";"1";"0";" -1";"0";"0";" -1"
"202400005630";"203 975 315";"155 771 883";"A01";"1";"1";"4";"1";"2003";"9";"2";"0";" -1";" -1";" -1";" -1"
"202400005630";"203 975 317";"155 771 885";"Z01";"1";"1";"1";" -1";"";" -1";" -1";" -1";" -1";"0";"0";" -1"
"202400005631";"203 975 311";"155 771 881";"A01";"10";"3";"4";"2";"1932";"5";"0";" -1";" -1";"5";"7";"1"
"202400005631";"203 975 313";"155 771 881";"A01";"1";"1";"1";"2";"1983";"4";"1";"0";" -1";"0";"0";" -1"
"202400005632";"203 975 307";"155 771 879";"A01";"2";"2";"3";"2";"2004";"9";"2";"6";" -1";"0";"0";" -1"
"202400005632";"203 975 308";"155 771 879";"A01";"1";"1";"4";"1";"2003";"1";"2";"6";" -1";"0";"0";" -1"
"202400005632";"203 975 309";"155 771 880";"C01";"3";"2";"1";"2";"2001";"5";"1";"0";" -1";"0";"0";" -1"
"202400005632";"203 975 310";"155 771 880";"C01";"2";"2";"1";"2";"1975";"5";"1";"0";" -1";"0";"0";" -1"
"202400005632";"203 975 312";"155 771 880";"C01";"1";"1";"1";"1";"1967";"5";"1";"0";" -1";"0";"0";" -1"
"202400005632";"203 975 314";"155 771 882";"B01";"1";"1";"1";"1";"1990";"5";"1";"0";" -1";"0";"0";" -1"
"202400005633";"203 975 305";"155 771 877";"B01";"1";"1";"4";"2";"1997";"5";"8";"0";" -1";"0";"0";" -1"
"202400005633";"203 975 306";"155 771 878";"A01";"1";"1";"1";"1";"1963";"5";"8";"0";" -1";"0";"0";" -1"
"202400005634";"203 975 302";"155 771 874";"A01";"1";"1";"4";"1";"1982";"5";"8";"0";" -1";"0";"0";" -1"
"202400005635";"203 975 303";"155 771 875";"A01";"1";"1";"1";"1";"1962";"9";"8";"0";" -1";"0";"0";" -1"
"202400005635";"203 975 304";"155 771 876";"Y01";"1";"1";"4";"2";"1992";"9";"8";"0";" -1";"0";"0";" -1"
"202400005636";"203 975 300";"155 771 873";"A01";"10";"3";"4";"2";"1998";"5";"8";"8";" -1";"1";"3";"2"
"202400005636";"203 975 301";"155 771 873";"A01";"1";"1";"1";"1";"1992";"9";"8";" -1";" -1";"1";"3";"2"
"202400005637";"203 975 298";"155 771 871";"A01";"1";"1";"1";"1";"2000";"5";"8";"0";" -1";"0";"0";" -1"
"202400005637";"203 975 299";"155 771 872";"B01";"1";"1";"4";"1";"1974";"1";"2";"0";" -1";"0";"0";" -1"
"202400005638";"203 975 296";"155 771 870";"A01";"10";"3";"4";"2";"1963";"9";"0";" -1";" -1";"2";"3";"1"
"202400005638";"203 975 297";"155 771 870";"A01";"1";"1";"1";"1";"2006";"5";"8";"0";" -1";"0";"0";" -1"
"202400005639";"203 975 292";"155 771 867";"A01";"1";"1";"1";"1";"1978";"1";"1";"8";" -1";" -1";" -1";" -1"
"202400005639";"203 975 295";"155 771 869";"B01";"1";"1";"4";"1";"1997";"1";"2";"8";" -1";" -1";" -1";" -1"
"202400005640";"203 975 291";"155 771 866";"A01";"1";"1";"1";"1";"1992";"9";"1";"8";" -1";" -1";" -1";" -1"
"202400005640";"203 975 293";"155 771 868";"B01";"1";"1";"1";"2";"1983";"9";"2";"0";" -1";" -1";" -1";" -1"
"202400005640";"203 975 294";"155 771 868";"B01";"2";"2";"4";"1";"1983";"0";"2";"0";" -1";" -1";" -1";" -1"
"202400005641";"203 975 290";"155 771 865";"A01";"1";"1";"4";"1";"1972";"1";"8";"0";" -1";"0";"0";" -1"
"202400005642";"203 975 288";"155 771 863";"B01";"1";"1";"4";"1";"1968";"9";"1";"0";" -1";"0";"0";" -1"
"202400005642";"203 975 289";"155 771 864";"A01";"1";"1";"1";"1";"1939";"9";"8";"0";" -1";"0";"0";" -1"
"202400005643";"203 975 286";"155 771 861";"A01";"1";"1";"1";"2";"1999";"5";"8";"0";" -1";"0";"0";" -1"
"202400005643";"203 975 287";"155 771 862";"B01";"1";"1";"4";"1";"1987";"1";"8";"0";" -1";"0";"0";" -1"
