"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202400000074";"155781622";"A01";"3";"1";"0";"2";"3";"12";"5";""
"202400000075";"155781621";"A01";"0";"33";"0";"2";"1";"1";"1";""
"202400000075";"155781623";"B01";"3";"10";"0";"2";"7";"15";"1";""
"202400000076";"155781618";"B01";"1";"2";"0";"2";"1";"1";"1";""
"202400000076";"155781620";"A01";"1";"7";"0";"2";"2";"12";"1";""
"202400000077";"155781616";"B01";"2";"10";"0";"2";"1";"1";"1";""
"202400000077";"155781617";"A01";"2";"7";"0";"0";"6";"15";"1";""
"202400000077";"155781619";"C01";"1";"38";"0";"2";"3";"1";"1";"1"
"202400000078";"155781614";"A01";"2";"50";"0";"2";"8";"19";"3";""
"202400000078";"155781615";"B01";"2";"34";"7";"2";"1";"1";"1";""
"202400000079";"155781613";"A01";"1";"7";"0";"1";"2";"9";"1";""
"202400000080";"155781610";"B01";"2";"2";"0";"2";"6";"11";"1";""
"202400000080";"155781612";"A01";"2";"2";"0";"2";"1";"17";"1";""
"202400000081";"155781609";"B01";"2";"1";"1";"0";"1";"1";"5";""
"202400000081";"155781611";"A01";"2";"7";"0";"2";"3";"22";"1";""
"202400000082";"155781608";"A01";"3";"7";"0";"1";"1";"15";"1";""
"202400000083";"155781607";"A01";"2";"7";"4";"0";"9";"0";"0";""
"202400000084";"155781606";"A01";"1";"7";"3";"0";"3";"0";"1";""
"202400000085";"155781604";"B01";"1";"15";"0";"2";"2";"1";"1";""
"202400000085";"155781605";"A01";"2";"7";"6";"2";"1";"11";"1";""
"202400000086";"155781603";"A01";"1";"10";"2";"0";"9";"26";"1";""
"202400000087";"155781601";"A01";"3";"10";"0";"2";"6";"4";"0";""
"202400000087";"155781602";"B01";"3";"34";"0";"2";"7";"26";"1";""
"202400000088";"155781600";"A01";"0";"10";"0";"1";"2";"1";"1";""
"202400000089";"155781599";"A01";"2";"7";"0";"0";"0";"1";"1";""
"202400000090";"155781597";"B01";"1";"17";"0";"0";"5";"1";"1";""
"202400000090";"155781598";"A01";"1";"7";"4";"2";"3";"2";"1";""
"202400000091";"155781595";"A01";"1";"37";"0";"1";"6";"1";"1";"1"
"202400000092";"155781594";"A01";"1";"10";"0";"0";"0";"1";"1";""
"202400000093";"155781590";"B01";"1";"7";"3";"0";"4";"2";"1";""
"202400000093";"155781591";"A01";"1";"7";"0";"2";"1";"2";"1";""
"202400000094";"155781589";"A01";"3";"7";"0";"1";"1";"1";"1";""
"202400000095";"155781587";"B01";"2";"7";"0";"2";"3";"11";"1";""
"202400000095";"155781588";"A01";"2";"1";"0";"2";"5";"1";"5";""
"202400000096";"155781585";"A01";"1";"7";"0";"2";"4";"23";"0";""
"202400000096";"155781586";"B01";"1";"10";"0";"2";"1";"1";"0";""
"202400000097";"155781583";"A01";"2";"7";"0";"2";"3";"11";"1";""
"202400000097";"155781584";"B01";"2";"7";"0";"2";"5";"1";"1";""
"202400000098";"155781581";"A01";"2";"7";"0";"2";"2";"2";"1";""
"202400000098";"155781582";"B01";"2";"10";"0";"2";"5";"1";"1";""
"202400000099";"155781579";"B01";"2";"7";"0";"2";"4";"2";"1";""
"202400000099";"155781580";"A01";"2";"7";"0";"2";"1";"2";"1";""
"202400000100";"155781578";"A01";"1";"33";"0";"2";"1";"2";"1";""
"202400000101";"155781575";"B01";"2";"7";"0";"2";"1";"2";"1";""
"202400000101";"155781576";"C01";"2";"7";"0";"2";"4";"2";"1";""
