"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"CNIT";"Catégorie véhicule";"Age véhicule"
"67 230 519";"B";"2024";"Métropole";"M10JTOVP010L042";"VT";"9"
"67 230 520";"A";"2024";"Métropole";"M10CTRVP064K269";"VT";"5"
"67 230 521";"A";"2024";"Métropole";"M10RENVPF14C119";"VT";"0"
"67 230 521";"B";"2024";"Métropole";"N/A";"Cyclo";"9"
"67 230 522";"A";"2024";"Métropole";"M1GLDRVP000T516";"VT";"7"
"67 230 523";"A";"2024";"Métropole";"MPE5212TN326";"VT";"17"
"67 230 524";"A";"2024";"Métropole";"MJH9202R0727";"VT";"15"
"67 230 524";"B";"2024";"Métropole";"L3EPGGML0001745";"Moto légère";"6"
"67 230 525";"A";"2024";"Métropole";"N/A";"Autres";"0"
"67 230 526";"A";"2024";"Métropole";"LXM91J80T190";"Autres";"16"
"67 230 526";"B";"2024";"Métropole";"N/A";"VT";"14"
"67 230 527";"A";"2024";"Métropole";"L3EYAMML000R859";"Moto légère";"3"
"67 230 527";"B";"2024";"Métropole";"MJS5102GQ800";"VT";"14"
"67 230 528";"A";"2024";"Métropole";"N/A";"Cyclo";"1"
"67 230 528";"B";"2024";"Métropole";"N/A";"VT";"4"
"67 230 529";"A";"2024";"Métropole";"L3EKTMM1000W128";"Moto lourde";"9"
"67 230 529";"B";"2024";"Métropole";"M10PGTVP011R703";"VT";"9"
"67 230 530";"A";"2024";"Métropole";"N/A";"VT";"15"
"67 230 531";"A";"2024";"Métropole";"M10CTRVP001S329";"VT";"11"
"67 230 532";"A";"2024";"Métropole";"M10RENVPE43F290";"VT";"1"
"67 230 533";"A";"2024";"Métropole";"MSE5332NM288";"VT";"18"
"67 230 533";"B";"2024";"Métropole";"N/A";"VT";"10"
"67 230 534";"A";"2024";"Métropole";"N/A";"Indéterminable";"N/A"
"67 230 535";"A";"2024";"Métropole";"MPE5201K9748";"VT";"19"
"67 230 536";"A";"2024";"Métropole";"M10BMWVP004K612";"VT";"12"
"67 230 536";"B";"2024";"Métropole";"M10PGTVP003Z235";"VT";"11"
"67 230 536";"C";"2024";"Métropole";"M10FRDVP221J404";"VT";"6"
"67 230 537";"A";"2024";"Métropole";"VF32C8HZA476452";"VT";"17"
"67 230 538";"A";"2024";"Métropole";"LYM12E20N486";"Moto légère";"10"
"67 230 538";"B";"2024";"Métropole";"N/A";"Moto lourde";"11"
"67 230 539";"A";"2024";"Métropole";"MRE5222EF558";"VT";"15"
"67 230 539";"B";"2024";"Métropole";"LKW19L40U141";"Moto lourde";"19"
"67 230 540";"A";"2024";"Métropole";"LGG92E201667";"Moto légère";"12"
"67 230 540";"B";"2024";"Métropole";"L1ESYMCL000J516";"Cyclo";"0"
"67 230 541";"A";"2024";"Métropole";"MKA5201T8752";"VT";"14"
"67 230 542";"A";"2024";"Métropole";"N/A";"Moto lourde";"0"
"67 230 543";"A";"2024";"Métropole";"N/A";"Moto lourde";"80"
"67 230 543";"B";"2024";"Métropole";"M10FATVP0018747";"VT";"10"
"67 230 544";"A";"2024";"Métropole";"L2ELGPCL0005280";"Cyclo";"8"
"67 230 544";"B";"2024";"Métropole";"M10RENVPE72X852";"VT";"1"
"67 230 545";"B";"2024";"Métropole";"N/A";"VT";"17"
"67 230 546";"A";"2024";"Métropole";"MPE5304AS689";"VT";"12"
"67 230 546";"B";"2024";"Métropole";"N/A";"VT";"N/A"
"67 230 547";"A";"2024";"Métropole";"M10K1AVP0019020";"VT";"13"
"67 230 548";"A";"2024";"Métropole";"L3EHNDML0011166";"Moto légère";"N/A"
"67 230 549";"A";"2024";"Métropole";"M10NSSVP0234660";"VT";"9"
"67 230 550";"A";"2024";"Métropole";"M10PELVP6813771";"VT";"0"
"67 230 551";"A";"2024";"Métropole";"M10NSSVP000S477";"VT";"14"
"67 230 551";"B";"2024";"Métropole";"L1EPGGCL000A898";"Cyclo";"5"
"67 230 552";"A";"2024";"Métropole";"N/A";"VT";"1"
"67 230 552";"B";"2024";"Métropole";"L3ESUZM10006335";"Moto lourde";"11"
"67 230 553";"A";"2024";"Métropole";"MFT11211V512";"VT";"13"
"67 230 554";"A";"2024";"Métropole";"N/A";"Moto lourde";"8"
"67 230 555";"A";"2024";"Métropole";"M10JT0VP065T358";"VT";"0"
"67 230 556";"A";"2024";"Métropole";"MPE5101KX322";"VT";"24"
"67 230 557";"A";"2024";"Métropole";"N/A";"Moto lourde";"1"
"67 230 558";"A";"2024";"Métropole";"M10HMCVP002K664";"VT";"5"
"67 230 558";"B";"2024";"Métropole";"L1EKYMCL0003484";"Cyclo";"6"
"67 230 559";"A";"2024";"Métropole";"M10AUDVP020J837";"VT";"6"
"67 230 560";"A";"2024";"Métropole";"N/A";"Cyclo";"13"
"67 230 562";"A";"2024";"Métropole";"N/A";"Autres";"0"
"67 230 563";"A";"2024";"Métropole";"M10PGTVP000N711";"VT";"0"
"67 230 564";"A";"2024";"Métropole";"LPE21C103241";"Cyclo";"18"
"67 230 564";"B";"2024";"Métropole";"M10CPFVP001P305";"VT";"0"
"67 230 565";"A";"2024";"Métropole";"N10RENCT004L029";"VU";"13"
"67 230 566";"A";"2024";"Métropole";"M10RENVP009Z817";"VT";"11"
"67 230 566";"B";"2024";"Métropole";"M10VLVVPUU6C284";"VT";"0"
"67 230 567";"A";"2024";"Métropole";"MRE1112ET972";"VT";"16"
"67 230 567";"B";"2024";"Métropole";"M10PGTVP085Y806";"VT";"4"
"67 230 569";"A";"2024";"Métropole";"MRE5316AW914";"VT";"17"
"67 230 569";"B";"2024";"Métropole";"N/A";"Cyclo";"13"
"67 230 570";"A";"2024";"Métropole";"N/A";"VT";"10"
"67 230 570";"B";"2024";"Métropole";"N/A";"Moto légère";"14"
"67 230 571";"A";"2024";"Métropole";"M30888TC0053159";"TC";"3"
"67 230 571";"B";"2024";"Métropole";"VF7PMCFAC892853";"VT";"15"
"67 230 573";"A";"2024";"Métropole";"M10RENVP538P411";"VT";"7"
"67 230 573";"B";"2024";"Métropole";"MCT5202SY896";"VT";"16"
"67 230 574";"A";"2024";"Métropole";"N/A";"VT";"16"
"67 230 574";"B";"2024";"Métropole";"L3EBMWM20778492";"Moto lourde";"1"
"67 230 575";"A";"2024";"Métropole";"MCT5202GN800";"VT";"20"
"67 230 575";"B";"2024";"Métropole";"MVW14R6W9908";"VT";"18"
"67 230 576";"A";"2024";"Métropole";"M10DACVP001W754";"VT";"4"
"67 230 577";"A";"2024";"Métropole";"N/A";"VT";"34"
"67 230 578";"A";"2024";"Métropole";"N/A";"VT";"28"
"67 230 578";"B";"2024";"Métropole";"N/A";"VT";"13"
"67 230 579";"A";"2024";"Métropole";"MJH000ALT078";"VT";"26"
"67 230 579";"B";"2024";"Métropole";"M10MN1VP009D134";"VT";"6"
"67 230 580";"A";"2024";"Métropole";"N/A";"Cyclo";"N/A"
"67 230 581";"A";"2024";"Métropole";"N/A";"VT";"2"
"67 230 581";"B";"2024";"Métropole";"M10VWGVP4677413";"VT";"11"
"67 230 582";"A";"2024";"Métropole";"M10MCWVPE02S525";"VT";"4"
"67 230 583";"B";"2024";"Métropole";"MRE1112ET972";"VT";"16"
"67 230 584";"A";"2024";"Métropole";"L5EPGGTM000C994";"Moto lourde";"3"
"67 230 584";"B";"2024";"Métropole";"M10AUDVP124C435";"VT";"0"
"67 230 585";"A";"2024";"Métropole";"N/A";"VU";"6"
"67 230 585";"B";"2024";"Métropole";"N/A";"VT";"28"
"67 230 586";"A";"2024";"Métropole";"N10VWGCTX39G626";"VU";"3"
"67 230 586";"B";"2024";"Métropole";"M10PGTVP1256605";"VT";"1"
"67 230 586";"C";"2024";"Métropole";"M10RENVP469T071";"VT";"7"
"67 230 587";"A";"2024";"Métropole";"N/A";"Moto lourde";"2"
"67 230 588";"A";"2024";"Métropole";"VF644AGE0000004";"PL";"17"
"67 230 589";"A";"2024";"Métropole";"N/A";"Moto lourde";"1"
"67 230 589";"B";"2024";"Métropole";"N/A";"VT";"12"
"67 230 590";"A";"2024";"Métropole";"M1GLDRVP005K599";"VT";"1"
"67 230 591";"A";"2024";"Métropole";"M10RENVP4788853";"VT";"7"
"67 230 591";"B";"2024";"Métropole";"L1EMA1CL0001270";"Cyclo";"0"
"67 230 592";"A";"2024";"Métropole";"N/A";"VU";"2"
"67 230 593";"A";"2024";"Métropole";"L1EBETCL000F263";"Cyclo";"2"
"67 230 593";"B";"2024";"Métropole";"MPE5012TG630";"VT";"15"
"67 230 594";"A";"2024";"Métropole";"N/A";"Moto lourde";"4"
"67 230 594";"B";"2024";"Métropole";"N/A";"VT";"0"
"67 230 594";"C";"2024";"Métropole";"N/A";"VT";"13"
"67 230 595";"A";"2024";"Métropole";"M10AUDVP0053060";"VT";"11"
"67 230 595";"B";"2024";"Métropole";"M10CTRVP000G609";"VT";"12"
"67 230 595";"C";"2024";"Métropole";"N/A";"VT";"30"
"67 230 596";"A";"2024";"Métropole";"M10RENVP001P196";"VT";"14"
"67 230 596";"B";"2024";"Métropole";"L1EBETCL000F263";"Cyclo";"N/A"
"67 230 597";"A";"2024";"Métropole";"MCT5206LS501";"VT";"22"
"67 230 597";"B";"2024";"Métropole";"M10CTRVP069H261";"VT";"5"
