"Num_Acc";"id_usager";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202400003615";"203980048";"155775450";"E01";"1";"1";"1";"1";"1967";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400003615";"203980050";"155775452";"C01";"1";"1";"1";"1";"1987";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003616";"203980037";"155775441";"A01";"1";"1";"1";"1";"1993";"1";"1";"0";" -1";"0";"0";" -1"
"202400003616";"203980038";"155775442";"B01";"1";"1";"4";"1";"1977";"1";"2";"6";" -1";"0";"0";" -1"
"202400003617";"203980034";"155775440";"A01";"3";"2";"4";"1";"1971";"5";"1";" -1";" -1";"0";"0";" -1"
"202400003617";"203980035";"155775440";"A01";"1";"1";"1";"1";"2000";"5";"1";" -1";" -1";"0";"0";" -1"
"202400003617";"203980036";"155775440";"A01";"2";"2";"1";"1";"1976";"5";"1";" -1";" -1";"0";"0";" -1"
"202400003618";"203980032";"155775438";"A01";"1";"1";"1";"1";"1987";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003618";"203980033";"155775439";"B01";"1";"1";"4";"1";"1989";"1";"2";"6";" -1";" -1";" -1";" -1"
"202400003619";"203980028";"155775435";"B01";"1";"1";"3";"1";"2019";"5";"0";" -1";" -1";"0";"0";" -1"
"202400003619";"203980030";"155775437";"A01";"1";"1";"1";"1";"2004";"5";"8";" -1";" -1";"0";"0";" -1"
"202400003619";"203980031";"155775437";"A01";"2";"2";"1";"1";"2007";"5";"8";" -1";" -1";"0";"0";" -1"
"202400003620";"203980026";"155775433";"A01";"1";"1";"4";"1";"1999";"1";"2";"6";" -1";" -1";" -1";" -1"
"202400003620";"203980027";"155775434";"B01";"1";"1";"1";"1";"1992";"4";"1";"0";" -1";" -1";" -1";" -1"
"202400003620";"203980029";"155775436";"C01";"1";"1";"1";"2";"1993";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003621";"203980023";"155775430";"A01";"1";"1";"4";"1";"1996";"1";"2";"6";" -1";" -1";" -1";" -1"
"202400003621";"203980024";"155775432";"B01";"1";"1";"1";"2";"1997";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003622";"203980022";"155775429";"B01";"1";"1";"1";"1";"1974";"4";"1";" -1";" -1";"0";"0";" -1"
"202400003622";"203980025";"155775431";"A01";"1";"1";"4";"2";"1952";"5";"0";" -1";" -1";"0";"0";" -1"
"202400003623";"203980021";"155775428";"A01";"1";"1";"2";"1";"1977";"9";"2";"0";" -1";"0";"0";" -1"
"202400003624";"203980017";"155775424";"B01";"1";"1";"4";"1";"1996";"0";"1";" -1";" -1";" -1";" -1";" -1"
"202400003624";"203980018";"155775426";"A01";"1";"1";"1";"1";"1970";"4";"1";" -1";" -1";" -1";" -1";" -1"
"202400003625";"203980019";"155775425";"A01";"1";"1";"1";"2";"1980";"0";"1";" -1";" -1";"0";"0";" -1"
"202400003625";"203980020";"155775427";"B01";"1";"1";"4";"1";"1982";"0";"2";"6";" -1";"0";"0";" -1"
"202400003626";"203980014";"155775421";"B01";"1";"1";"4";"1";"1957";"5";"2";"8";" -1";" -1";" -1";" -1"
"202400003626";"203980015";"155775423";"A01";"1";"1";"1";"1";"1989";"5";"2";"8";" -1";" -1";" -1";" -1"
"202400003627";"203980013";"155775420";"A01";"1";"1";"3";"1";"1992";"5";"2";"6";"9";"0";"0";" -1"
"202400003627";"203980016";"155775422";"B01";"1";"1";"1";"1";"1972";"5";"2";"9";"6";"0";"0";" -1"
"202400003628";"203980012";"155775419";"A01";"1";"1";"4";"1";"2004";"9";"8";"0";" -1";" -1";" -1";" -1"
"202400003629";"203980011";"155775418";"A01";"1";"1";"3";"2";"1988";"5";"8";" -1";" -1";"0";"0";" -1"
"202400003630";"203980005";"155775414";"A01";"1";"1";"4";"2";"1978";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003630";"203980007";"155775415";"B01";"1";"1";"1";"1";"1997";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003630";"203980009";"155775417";"C01";"3";"2";"1";"2";"2020";"0";"3";"0";" -1";" -1";" -1";" -1"
"202400003630";"203980010";"155775417";"C01";"1";"1";"1";"2";"1989";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003631";"203980006";"155775413";"A01";"1";"1";"3";"1";"1964";"1";"1";" -1";" -1";"0";"0";" -1"
"202400003631";"203980008";"155775416";"B01";"1";"1";"1";"1";"1999";"1";"1";" -1";" -1";"0";"0";" -1"
"202400003632";"203980003";"155775411";"B01";"1";"1";"4";"1";"1992";"9";"2";"0";" -1";" -1";" -1";" -1"
"202400003632";"203980004";"155775412";"A01";"1";"1";"1";"2";"1992";"1";"1";"0";" -1";" -1";" -1";" -1"
"202400003633";"203979997";"155775407";"A01";"3";"2";"4";"2";"1996";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003633";"203979998";"155775407";"A01";"1";"1";"4";"1";"1967";"0";"1";"8";" -1";" -1";" -1";" -1"
"202400003633";"203979999";"155775408";"B01";"1";"1";"4";"1";"1997";"0";"1";"8";" -1";" -1";" -1";" -1"
"202400003634";"203979995";"155775405";"A01";"1";"1";"4";"1";"1986";"0";"2";"8";" -1";" -1";" -1";" -1"
"202400003634";"203979996";"155775406";"B01";"1";"1";"1";"1";"1985";"0";"1";"8";" -1";" -1";" -1";" -1"
"202400003635";"203980000";"155775409";"B01";"2";"2";"4";"2";"2003";"0";"1";" -1";" -1";"0";"0";" -1"
"202400003635";"203980001";"155775409";"B01";"1";"1";"1";"1";"1964";"0";"1";" -1";" -1";"0";"0";" -1"
"202400003635";"203980002";"155775410";"A01";"1";"1";"3";"1";"1947";"0";"1";" -1";" -1";"0";"0";" -1"
"202400003636";"203979992";"155775402";"A01";"1";"1";"3";"1";"1973";"5";"2";" -1";" -1";"0";"0";" -1"
"202400003636";"203979993";"155775403";"B01";"1";"1";"1";"1";"1969";"4";"1";" -1";" -1";"0";"0";" -1"
"202400003637";"203979991";"155775401";"A01";"1";"1";"4";"2";"1978";"5";"2";"0";" -1";" -1";" -1";" -1"
"202400003637";"203979994";"155775404";"B01";"1";"1";"1";"2";"2004";"0";"1";"0";" -1";" -1";" -1";" -1"
"202400003638";"203979990";"155775400";"A01";"1";"1";"3";"1";"1995";"9";"2";" -1";" -1";"0";"0";" -1"
"202400003639";"203979987";"155775398";"A01";"1";"1";"1";"2";"2002";"0";"1";" -1";" -1";" -1";" -1";" -1"
"202400003639";"203979988";"155775399";"B01";"1";"1";"1";"2";"1975";"0";"1";"0";" -1";" -1";" -1";" -1"
